identifier,description,type,detail
1100,Directors,Expenses,Cost of Labor
1101,Directors,Expenses,Cost of Labor
1102,Creative Director,Expenses,Cost of Labor
1200,Producers,Expenses,Cost of Labor
1201,Executive Producers,Expenses,Cost of Labor
1202,Producers,Expenses,Cost of Labor
1203,Associate Producers,Expenses,Payroll Expenses
1300,Cast,Expenses,Cost of Labor
1301,Principal Talent,Expenses,Cost of Labor
1302,Casting Director,Expenses,Cost of Labor
1303,Extras/Background,Expenses,Cost of Labor
1304,Talent Expenses,Expenses,Travel
1400,Above The Line Travel & Living,Expenses,Travel
1401,Airfares,Expenses,Travel
1402,Hotels,Expenses,Travel
1403,Car Rentals,Expenses,Travel
1404,Taxis / Rideshares,Expenses,Travel
1405,Mileage,Expenses,Travel
1406,Per Diem,Expenses,Travel
1500,Story Rights & Writers,Expenses,Cost of Labor
1501,Writers,Expenses,Cost of Labor
1502,Story Rights - Purchase,Expenses,Other Business Expenses
1503,Clearances,Expenses,Other Business Expenses
1600,Stunts,Expenses,Other Business Expenses
1601,Stunt Coordinator,Expenses,Cost of Labor
1602,Stunt Performers,Expenses,Cost of Labor
1603,Stunts Riggers / Safeties,Expenses,Cost of Labor
1604,Stunt Adjustments,Expenses,Cost of Labor
1605,Equipment Rental,Expenses,Equipment Rental
1606,Stunt Equipment / Rigging Rentals,Expenses,Equipment Rental
1607,Stunts Wardobe Adjustments,Expenses,Cost of Labor
1900,Above The Line Fringes,Expenses,Cost of Labor
1901,Above The Line Fringes:DGA P&H,Expenses,Cost of Labor
2100,Production Department,Expenses,Cost of Labor
2101,Line Producer,Expenses,Cost of Labor
2102,Production Manager,Expenses,Cost of Labor
2103,Production Supervisor,Expenses,Cost of Labor
2104,Assistant Directors,Expenses,Cost of Labor
2105,Production Coordinator,Expenses,Cost of Labor
2106,Production Assistants,Expenses,Cost of Labor
2107,Production Accounting,Expenses,Cost of Labor
2108,Script Supervisor,Expenses,Cost of Labor
2109,Additional Production Labor,Expenses,Cost of Labor
2110,Production Supplies,Expenses,Office/General Administrative Expenses
2200,Camera Department,Expenses,Cost of Labor
